System,Feed,Water use and effluents,Impacts to wildlife,Environmental compliance,Certification,Production Performance,Production Assets,Risk,Product Form,Trade,Supply Chain Performance,Post-Harvest Assets,Managerial Returns,Labor Returns,Health & Sanitation,Community Services,Local Ownership,Local Labor,Career
Myanmar extensive 'trap and hold' shrimp,5.00,4.33,4.50,5.00,5.00,3.75,1.33,3.17,3.86,2.00,2.50,1.00,3.33,2.67,2.50,3.00,4.50,5.00,3.33
Myanmar intensive shrimp,2.50,3.67,3.50,4.00,1.00,4.23,3.60,4.17,3.88,4.25,2.33,2.33,3.67,3.00,3.33,4.00,3.00,4.00,3.33
Myanmar soft-shell crab,3.50,4.00,4.38,4.00,1.00,3.00,3.00,4.33,4.25,3.75,2.00,1.67,3.67,2.50,3.17,3.60,3.50,5.00,3.33
Myanmar pond-reared tilapia,3.00,3.67,4.00,4.00,1.00,3.69,3.17,3.83,3.38,2.75,2.00,1.67,3.17,2.67,2.33,3.20,4.00,5.00,3.00
Norway salmon,4.00,4.33,3.63,4.00,3.00,4.46,4.17,4.83,4.25,4.50,4.00,3.67,4.83,3.17,5.00,5.00,3.00,3.00,4.00
Chile salmon,4.00,3.67,3.63,3.00,2.00,4.31,4.00,4.83,4.13,4.50,3.67,3.67,5.00,3.83,3.33,3.40,2.00,4.00,4.00
Scotland salmon,4.00,4.00,3.63,4.00,3.00,4.38,4.17,4.83,4.25,4.50,3.67,3.67,4.83,3.17,4.83,5.00,1.00,3.00,4.00
Canada salmon,4.00,4.00,3.63,4.00,3.00,4.38,4.17,4.83,4.25,4.50,3.67,3.67,4.83,3.17,5.00,4.80,2.00,3.00,4.00
US Gulf of Mexico oysters,5.00,5.00,4.88,5.00,1.00,3.08,3.33,3.33,3.75,3.25,3.67,3.33,2.83,2.67,4.50,4.60,5.00,4.50,3.67
US Rhode Island oysters,5.00,5.00,4.63,5.00,1.00,3.54,3.50,4.00,4.50,4.25,4.33,4.00,3.00,2.50,4.83,4.60,4.50,5.00,3.33
Denmark rainbow trout,3.50,4.00,4.25,5.00,5.00,4.69,3.83,4.83,4.25,4.50,4.00,4.00,4.00,2.50,4.83,4.60,5.00,4.00,3.67
Indonesia tilapia and whiteleg shrimp,2.00,3.00,2.63,3.00,2.00,3.08,2.17,4.00,3.25,3.00,3.67,3.00,2.83,2.17,2.83,3.40,3.00,4.00,3.00
Indonesia milkfish and shrimp,2.00,3.33,2.75,3.00,2.00,2.77,2.33,4.00,3.63,3.00,3.67,3.00,3.33,2.33,2.50,3.00,4.50,5.00,3.33
US catfish,5.00,4.67,4.63,5.00,2.00,4.23,4.17,3.67,3.63,4.25,4.33,4.00,4.50,2.83,3.67,4.40,5.00,3.50,4.33
US Cedar Key clams,5.00,5.00,4.75,5.00,1.00,3.23,3.33,4.17,4.13,3.50,4.33,3.00,2.83,2.33,4.50,4.80,5.00,5.00,4.00
Spain sea bass and seabream,3.00,3.33,4.00,5.00,2.00,4.31,3.67,4.17,4.00,4.00,4.00,4.33,3.67,2.83,4.83,4.80,4.00,4.00,3.33
Spain mussels,5.00,5.00,4.63,5.00,3.00,3.46,3.33,4.17,4.25,3.00,5.00,4.33,3.50,2.83,4.83,5.00,5.00,5.00,4.00
India shrimp,3.50,4.00,3.75,3.00,3.00,3.77,3.00,3.50,3.63,4.00,3.33,3.33,4.67,2.67,3.67,3.60,4.50,3.00,3.33
Brazil shrimp,3.50,3.33,2.63,2.00,1.00,3.77,3.17,4.00,3.75,2.00,3.67,3.33,4.33,3.50,3.17,3.00,5.00,5.00,3.67
